,title
0,ULPT: Look up your buildings washer/dryer model on eBay and order a key for it. I haven’t paid for laundry in years and it cost me $8.00! Sleep like a baby knowing you’re not paying for on-site laundry.
1,"ULPT: If the person sitting in front of you on a flight reclines their seat all the way back and leaves you with no room, turn on the air con above you to full blast and point it at the top of their head."
2,"ULPT: If a relative keeps asking you about having kids, lie that the wife is pregnant. A few months later, tell them there was a miscarriage so they'll feel uncomfortable bringing up the subject again."
3,"ULPT: Save business cards of people you don't like. If you ever hit a parked car accidentally, just write ""sorry"" on the back and leave it on the windshield."
4,ULPT: Give your kids a bag of coal each for Christmas this year. When they cry just tell them Santa is wrong and you'll get it sorted. Once the shops open buy what they asked for. They will think you are a legend and Santa is a dick. You will also get the presents for half price.
5,"ULPT: If you’re initiating a divorce, secretly arrange consultations with ALL the best divorce attorneys in your area before choosing one and filing. Once they have met with you, even briefly, they are considered biased and will have to recuse themselves from representing your spouse."
6,"ULPT: If you live near a US military base, it's a really good time to install Tinder."
7,"ULPT If you ever get caught sleeping at your desk at work then say ""They told me at the Blood Bank that this would happen"" when asked for a reason"
8,"ULPT: If a computer illiterate relative/friend asks you to fix their slow computer, boost their cursor speed by a notch or two. They’ll instantly notice a difference and thank you!"
9,"ULPT: When you give someone a gift card as a gift, write down the card number and code. Then after a year or two, check the balance and if they hadn't used it yet, just use it yourself. They obviously won't know or care."
10,"ULPT: if you accidentally scratch someone’s car, write a note in shaky handwriting saying you are 5 years old and fell off your bike. Then leave $5 saying it’s all you had"
11,"ULPT: If you glue a dead wasp to the palm of your hand, you can hit your boss on the back of the head as hard as you like and act like you saved him."
12,"ULPT As a parent of a baby, smell their diaper. If you DON’T smell poop, say, “Woah, somebody has a poopy diaper. “ Then take them to the other room and pretend to change them. Then the next time they poop tell your spouse, “It’s your turn. I changed them last time.”"
13,"ULPT: If you come across a dating profile begging for money, send them a request for the same amount instead of a gift. Many times they're too careless to read and will automatically accept it because they assume another desperate guy is sending cash."
14,ULPT: If you have a significant unexplained employment gap that is hurting your resume claim that you were providing full time end of life care for a grandparent (or other older relative).
15,"ULPT: Want your commercial to be seen by millions of people for free? Put it on YouTube with the title ""The commercial the Superbowl refused to run."""
16,ULPT: Concerned about unvaccinated children spreading infection? Start rumours amongst antivaxxers that exposure to vaccinated children can cause their unvaccinated children to develop autism....the antivaxxers will be sure to keep their children at a safe distance.
17,"ULPT: If you decide to adopt kids, tell them that if anyone makes fun of them for being adopted, they should say ""At least I was wanted. You were probably a mistake and your parents didn't have the heart to tell you.""."
18,ULPT: In your last year of college “lose” your student ID and get a new one. The exp date will reset and you can get another 4 years of discounts
19,"ULPT: Buy the cheapest tickets available for a sporting event. Once inside, check Ticketmaster and Stubhub for better seats that didn’t sell and go sit there."
20,ULPT: Now is a good time for a cheap wedding. You can send “wish we could invite you” cards and probably still get gifts without paying for a big wedding.
21,ULPT: Need to go to the ER? Don’t use your real name and don’t bring your ID!
22,"ULPT: Donate to homeless shelters in the next town over. The majority of homeless people tend to go where there are available services, and this will reduce the number of homeless in your town."
23,"ULPT: If your company doesn't pay you for sick leaves/ doesn't permit you to take sick leave, show up at work with a flu/pox and *accidentally* infect everybody. They will eventually change policies"
24,"ULPT: If you ever rob a bank, make sure to hold your middle finger in front of you the whole time so the news has to blur your face in the security footage."
25,"ULPT: make your edibles in the shape of dog treats and take them anywhere you want. If a drug dog finds them, his handler will just think he's being a silly boy."
26,ULPT: Keep hydrated at work. You'll need to take a lot of bathroom breaks. This will make up for all the breaks smokers get. Might as well double up and start smoking
27,"ULPT that koalas have a 20% chance of being infected with Chlamydia with many more carrying the disease. If you are harboring koala refugees from the Australian bushfires, and you cheated on your spouse and got chlamydia, use this as an excuse."
28,"ULPT Whenever buying something online, try using the coupon code ""military"". Many sites have a military discount and don't require any proof of military service. I have seen up to 30% off with this coupon code."
29,ULPT: Learn how to read braille and create a cheat/answer sheet for a test and put it in your hoodie pocket. You can feel the answers with your fingers without looking away from your test.
30,"ULPT: Paper due at 11:59? Nowhere close to being done? Submit a paper you've done for another class and then use the time between then and when your professor emails you saying, ""Oops! Looks like you submitted the wrong paper"" to work on your actual paper"
31,"ULPT: Remember all those sketchy websites on Google, that let you watch any movie or TV show you wanted for free? They're all on duckduckgo.com now"
32,ULPT: If you squash a memory foam pillow then fart into it while it expands back out it sucks the fart smell in for 5 or so minutes so when the next person lays their head on it the fart particles get re-released around their head.
33,"ULPT: Need a discount for an online purchase? Try variations of ""sorry"", ""sorry15"", ""sorry20"", etc. Companies will often have unadvertised coupon codes available to give to customers for faulty products or shipping mistakes."
34,"ULPT: If you plan on going to prison, learn to cut hair. Barbers are greatly appreciated by other inmates and you’ll likely be spared when it comes to prison violence"
35,"ULPT: If you don't want to make a call but may later need to prove that you, in fact, did make a call but they didn't pick up, turn airplane mode on and make a call."
36,"ULPT: Need friends? Create an attractive fake tinder profile of the opposite sex, start leading on a bunch of people, arrange a date with all of them on the same time, same place. Show up as well. Announce that they must have pulled a prank on all of you and suggest you all go drinking together."
37,ULPT When I don't want to get caught plagiarising off of Wikipedia I translate the article to French then Hindi then back to English and chip off grammatical errors and get praised for my hard work.
38,ULPT: Want to get into a gated community and don’t know the code? Try 9911. Most communities use it as a backup code for emergency services to get in quickly.
39,"ULPT: If a website requires you to enter payment information before getting a free trial, create an account on the Spanish or Belgium PayPal since those don't require you to enter a credit card to create the account, and then just add it to your payment info."
40,"ULPT: If someone calls you fat, just tell them you used to be 75 lbs heavier. They end up looking like an asshole and you end up looking accomplished."
41,"ULPT: Tell your friends that you've made them a partial life insurance beneficiary. They'll feel obligated to do the same for you, and will only find out you lied if you die first."
42,"ULPT: Starting a new job? No matter what the reality is you now have four, alive grandparents"
43,ULPT: Don't get caught by your boss reading news or sports articles on your computer at work. Quickly copy the content of the article into an email and read it from there. Your boss will think you are dealing with an intensive email and will leave you alone.
44,ULPT: If you work in retail make a fake e-mail and write an e-mail to your boss/store praising yourself
45,"ULPT Register to vote with the political party you do not align with. Screw up redistricting efforts, bias polling numbers, make outreach less efficient, vote against the front runner in a primary, and in the end you can still vote for your favorite candidate."
46,"ULPT: Want to cut into another lane of traffic but nobody will let you in? Cut in front of a Tesla, autopilot will force the car to stop."
47,"ULPT: If you’re driving next to a cop with drugs in your car and are trying to act normal, pick your nose. Your body language shows you aren’t concerned with anyone around you. The last thing you’d ever do if you were paranoid about a cop next to you is pick you nose."
48,ULPT: Have a racist Grandmother? Photoshop a picture of your sibling with a black man or woman and tell her they’re engaged. She will take them out of the will and you’ll get a bigger share of the loot.
49,"ULPT: If you are a small business owner with a significant competitor, hire homeless people to bother their customers"
50,"ULPT: How to dispute medical debt the right, effective way. LPT deleted me because it's a ""legal"" thing but this is actually a life pro top with a shade of shady in here so I guess it fits better here anyway."
51,"ULPT: Add a gift card to your online order to reach the free delivery threshold, then use said card for your next purchase and repeat."
52,"ULPT: When ordering ice cream, always ask for a single scoop. However, when the server is finished, say, “Actually I’d like a second scoop.” This forces them into matching the size of the first scoop, which tends to be bigger, since it was for a single cone."
53,"ULPT: Stop shaming anti-vaxxers. Humanity needs to reduce its population, and its better for everyone if the stupid people volunteer to thin their herds first."
54,"ULPT: Your food business is not getting enough customers? Make a fake hot tinder profile and tell your dates to meet at your restaurant, pretend to be late and tell them to order something expensive for you. Then after you serve them call off the date because your BF/GF found out or something."
55,"ULPT: If your coworker calls out of work sick, you can do the same 1-3 days later. Your boss will think you have the same thing and it's ""going around the office."" In fact, most of the time, your boss will do the same thing shortly after you. It's the fake flu."
56,ULPT Want to stop spam calls from a scam company? Go to the companies website an enter in your local congressman's office contact info and phone number. Your congressman's office line will get bombarded with spam calls and will hopefully take action against the company.
57,ULPT - Tired of applying for jobs and never getting called back? Create a fake profile for a super-qualified candidate!
58,ULPT Had a good first date from a dating app? Report the person in the app so their account gets ban. That way you limit their dating options and increase your chances of a second date.
59,"ULPT: Clean your house perfectly before the first working day of your new housekeeper. When she comes, apologize for the huge mess."
60,"ULPT: If you work at a place that offers surveys on the receipts (fast food, grocery, etc), pocket all of the receipts that customers decline and fill them out with really positive comments about yourself, or really negative comments about your co-workers that you don't like"
61,ULPT: Give the same perfume to your wife and your girlfriend. It could save your ass one day.
62,"ULPT: Tell your kid that if he or she doesn't brush their teeth well enough, they'll all fall out. When they start to lose their baby teeth, tell them they didn't do a good enough job. This way, they'll brush their adult teeth really well."
63,"ULPT: If you see someone shoplifting from superstores this holiday season, just mind your own damn business. Those places don’t pay you to prevent their product loss."
64,ULPT: Don't want to spend a small fortune on a wedding ring? Buy an old wedding ring at a pawn shop and say that it was your grandmothers ring. This will give it more sentiment and value than a new ring.
65,"ULPT: Send a wedding invite to every billionaire you can find an address for, as there's a good chance their assistants just send you a gift without ever confirming who you are or if their boss knows you."
66,"ULPT: Give fake money to homeless people. They will thank you for it, but also when they get arrested and taken to jail, it’ll reduce the number of homeless people in your area."
67,"ULPT: If you can't get your roommate to clean up, create a fake Tinder profile, match with them and tell them you're coming over. They'll leave the place absolutely spotless in no time."
68,ULPT: Lie about having a college degree. Companies rarely check them and if they do the only consequence is that they don’t hire you.
